src,tgt,dep_model,gnn_model,ml_model,seed,f1
en,en,stanza,rgcn,mbert-base,11737,0.9314190338373279
en,en,stanza,rgat,mbert-base,11737,0.9391945911625896
en,en,trankit,rgcn,mbert-base,11737,0.9378763749177079
en,en,trankit,rgat,mbert-base,11737,0.9375535009530891
en,en,-,-,mbert-base,11737,0.9279122550475288
en,en,stanza,rgcn,mbert-base,15123,0.9429635732813559
en,en,stanza,rgat,mbert-base,15123,0.9358603373584387
en,en,trankit,rgcn,mbert-base,15123,0.9194262120078548
en,en,trankit,rgat,mbert-base,15123,0.947330539906583
en,en,-,-,mbert-base,15123,0.9196537723308944
en,en,stanza,rgcn,mbert-base,98105,0.946795426759611
en,en,stanza,rgat,mbert-base,98105,0.9449122902177304
en,en,trankit,rgcn,mbert-base,98105,0.939997857848812
en,en,trankit,rgat,mbert-base,98105,0.9311093766668515
en,en,-,-,mbert-base,98105,0.9436664179187272
en,en,stanza,rgcn,mbert-base,98109,0.9432003252063669
en,en,stanza,rgat,mbert-base,98109,0.9503503248510556
en,en,trankit,rgcn,mbert-base,98109,0.9422853892240076
en,en,trankit,rgat,mbert-base,98109,0.934102706217083
en,en,-,-,mbert-base,98109,0.9496436954905623
en,en,stanza,rgcn,mbert-base,15232,0.9372575824801905
en,en,stanza,rgat,mbert-base,15232,0.9523523544573332
en,en,trankit,rgcn,mbert-base,15232,0.9266688269138964
en,en,trankit,rgat,mbert-base,15232,0.937203190542395
en,en,-,-,mbert-base,15232,0.9356630723721301
en,en,stanza,rgcn,xlmr-base,11737,0.9209779155945549
en,en,stanza,rgat,xlmr-base,11737,0.9081631137421265
en,en,trankit,rgcn,xlmr-base,11737,0.9256955707185329
en,en,trankit,rgat,xlmr-base,11737,0.897165980971221
en,en,-,-,xlmr-base,11737,0.8852484401336221
en,en,stanza,rgcn,xlmr-base,15123,0.907235494643246
en,en,stanza,rgat,xlmr-base,15123,0.9273023469360059
en,en,trankit,rgcn,xlmr-base,15123,0.9242561245894058
en,en,trankit,rgat,xlmr-base,15123,0.9157523391452642
en,en,-,-,xlmr-base,15123,0.9288896494529193
en,en,stanza,rgcn,xlmr-base,98105,0.8901949209193865
en,en,stanza,rgat,xlmr-base,98105,0.9201810787264951
en,en,trankit,rgcn,xlmr-base,98105,0.904589950767176
en,en,trankit,rgat,xlmr-base,98105,0.9329743725867449
en,en,-,-,xlmr-base,98105,0.9107521664052252
en,en,stanza,rgcn,xlmr-base,98109,0.9270894115713719
en,en,stanza,rgat,xlmr-base,98109,0.9078085150700613
en,en,trankit,rgcn,xlmr-base,98109,0.9060962866161872
en,en,trankit,rgat,xlmr-base,98109,0.9281394283470127
en,en,-,-,xlmr-base,98109,0.8995497449935965
en,en,stanza,rgcn,xlmr-base,15232,0.8993257637344834
en,en,stanza,rgat,xlmr-base,15232,0.9171663789804334
en,en,trankit,rgcn,xlmr-base,15232,0.9012296395294084
en,en,trankit,rgat,xlmr-base,15232,0.8998570043207085
en,en,-,-,xlmr-base,15232,0.9225801034931241
en,hi,stanza,rgcn,mbert-base,11737,0.5235181347369399
en,hi,stanza,rgat,mbert-base,11737,0.5859817025981342
en,hi,trankit,rgcn,mbert-base,11737,0.592190249468489
en,hi,trankit,rgat,mbert-base,11737,0.6239453441909901
en,hi,-,-,mbert-base,11737,0.6154672106037755
en,hi,stanza,rgcn,mbert-base,15123,0.6004739127196846
en,hi,stanza,rgat,mbert-base,15123,0.5573873184870805
en,hi,trankit,rgcn,mbert-base,15123,0.6358089746299822
en,hi,trankit,rgat,mbert-base,15123,0.5826350464709157
en,hi,-,-,mbert-base,15123,0.5822996382998792
en,hi,stanza,rgcn,mbert-base,98105,0.6069392067843101
en,hi,stanza,rgat,mbert-base,98105,0.5917717536393318
en,hi,trankit,rgcn,mbert-base,98105,0.622103053462967
en,hi,trankit,rgat,mbert-base,98105,0.6267370846836333
en,hi,-,-,mbert-base,98105,0.5996379660299884
en,hi,stanza,rgcn,mbert-base,98109,0.5966603881865338
en,hi,stanza,rgat,mbert-base,98109,0.5801353043987364
en,hi,trankit,rgcn,mbert-base,98109,0.570479408819699
en,hi,trankit,rgat,mbert-base,98109,0.5993420481019616
en,hi,-,-,mbert-base,98109,0.6068251709930489
en,hi,stanza,rgcn,mbert-base,15232,0.5603863774811697
en,hi,stanza,rgat,mbert-base,15232,0.5839285652302482
en,hi,trankit,rgcn,mbert-base,15232,0.6177206755404323
en,hi,trankit,rgat,mbert-base,15232,0.6040497407777751
en,hi,-,-,mbert-base,15232,0.5975540231436285
